"RespondentID","age","male","race_black","educ_r","inc_r","commutetrip","city","overall1_1","overall2_1","triprating_1","cr_rider","cr_line","cr_min_late","cr_min_travel","trx_time","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","hwtravel_delay","delay_comb","delay_source","delay_line","delay_comb_log","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
3082049045,2,1,0,0.4,0,0,"Somerville",0.333333333333333,0.333333333333333,0.333333333333333,0,NA,NA,NA,NA,5,0.75,0,-1,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082600934,3,0,0,1,0.75,1,"Boston",0.833333333333333,0.666666666666667,0.833333333333333,0,NA,NA,NA,NA,4,0.5,0,-1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082642421,3,1,NA,NA,1,1,"Quincy",0.666666666666667,0.666666666666667,0.833333333333333,1,"Providence/Stoughton Line",7,79,NA,NA,NA,0,NA,NA,NA,0,NA,7,"CR","Providence/Stoughton Line",2.07944154167984,79,"CR",4.38202663467388,NA,NA
3082725256,3,1,0,0.8,1,1,"Somerville",0.333333333333333,0.333333333333333,0.666666666666667,0,NA,NA,NA,NA,5,0.5,0,-1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082739289,5,1,0,0.8,0.5,1,"Yarmouthport",0.666666666666667,0.833333333333333,0.666666666666667,0,NA,NA,NA,"2015-03-17 16:33:12",5,0.5,0,-1,0.333333333333333,1,1,1.26666666666667,1.26666666666667,"Subway","Orange Line",0.818310323513951,19.7833333333333,"Subway",3.03415138345794,-188,-3.13333333333333
3082824863,4,0,NA,NA,0.5,0,"Boston",0.666666666666667,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"Kingston/Plymouth Line",NA,NA,NA,NA,NA,NA
3082882304,4,1,NA,NA,0.25,1,"Quincy",0.5,0,0.833333333333333,0,NA,NA,NA,"2015-03-18 07:10:33",NA,NA,0,NA,NA,NA,0,4.96666666666667,4.96666666666667,"Subway","Red Line",1.7861884241786,28,"Subway",3.36729582998647,-38,-0.633333333333333
3082925173,3,1,0,0.8,0.75,1,"Malden",0.666666666666667,0.666666666666667,1,0,NA,NA,NA,"2015-03-18 10:45:44",6,0.75,0,0,0.5,0.6,0,5.05,5.05,"Subway","Orange Line",1.80005827204275,20.3333333333333,"Subway",3.06027079469156,39,0.65
3082956294,3,0,NA,NA,0.75,1,"Somerville",0.666666666666667,0.166666666666667,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3083119693,3,0,0,0.8,0.75,1,"Cambridge",0.666666666666667,0.666666666666667,0.666666666666667,0,NA,NA,NA,"2015-03-18 09:04:17",5,0.75,0,-1,0.166666666666667,0.8,0,4.18333333333333,4.18333333333333,"Subway","Red Line",1.64544834995713,13.6,"Subway",2.68102152871429,-13,-0.216666666666667
