"RecipientID","age","male","race_1","race_2","race_3","race_4","race_5","race_5_TEXT","race_6","race_7","race_black","latino","educ_r","inc_r","DL_indiv","DL_house","auto_house","smartphone","commutetrip","tripfreq_1","city","optin","overall1_1","overall2_1","triprating_1","rating_1","rating_5","wait1","cr_rider","cr_line","cr_min_late","cr_min_travel","cr_min_benchmark","trx_time","next_train","prev_train","start_mode","start_line","hw_mean","hw_bench","hw_perf","hw_guess","hw_guess_min","hw_mean_min","traveltime_mean","traveltime_guess","traveltime_bench","traveltime_bench_guess","traveltime_perf","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","cr_min_late.1","hwtravel_delay","hwtravel_delay_log","delay_comb","delay_source","delay_line","delay_comb_log","delay_comb_dev","delay_comb_bin","delay_comb_bin2","hwtraveltime","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
"MLRP_4OTAmshFD5CjoHz",0.5,0,0,0,0,0,0,"",1,NA,0,0,1,0.5,1,3,2,1,1,6,"2021",1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,5,0,NA,NA,NA,NA,"2015-07-21 06:33:00",NA,NA,"Subway","Red Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.75,1,-1,0.333333333333333,0.6,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_4SldDF44C7SV1cN",0.25,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,2,5,4,1,0,NA,"2478",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_4TQsUQEUqBXgBrD",0,0,0,0,0,0,0,"",1,NA,0,0,NA,0,1,2,2,2,0,4,"2171",0,0.833333333333333,0.833333333333333,0.833333333333333,1,1,5,0,NA,NA,NA,NA,"2015-07-11 20:41:00","2015-07-11 20:49:27","2015-07-11 20:39:21","Subway","Red Line",606,840,0,507,8.45,10.1,998,1025,889.666666666667,921,1.12176845260397,NA,NA,NA,NA,NA,NA,0,NA,3.18333333333333,1.43110837690968,3.18333333333333,"Subway","Red Line",1.43110837690968,0.183333333333333,1,2,25.5333333333333,25.5333333333333,"Subway",3.27840180418223,99,1.65
"MLRP_4UAodpyREec3FOJ",0.75,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,2,2,1,0,2,"2145",0,0.666666666666667,0.666666666666667,0.833333333333333,1,0.666666666666667,0,0,NA,NA,NA,NA,"2015-07-19 13:17:00",NA,NA,"Bus","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_4Vm7y5k5BQUFQcB",0.5,0,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,2,1,1,7,"2472",0,0.5,0.5,0.666666666666667,0.666666666666667,0.5,5,0,NA,NA,NA,NA,NA,NA,NA,"Bus","70A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_4Z2PL79EZTuoqyN",1,1,0,0,0,0,0,"",1,NA,0,0,1,1,1,2,2,1,1,7,"2476",1,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0,0,NA,NA,NA,NA,"2015-07-21 18:03:00",NA,NA,"Subway","Red Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,1,1,-1,0,1,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_4ZRvvB7JRFVgZ6Z",0.5,1,0,0,0,0,0,"",1,NA,0,0,0.6,0,2,3,3,1,1,5,"2132",1,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,4,0,NA,NA,NA,NA,NA,NA,NA,"Bus","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,0,-1,0,1,1,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_50Bmfj8wNbpvczP",NA,0,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,2,2,1,0,NA,"2149",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_51F1ZdvYHlCqrdj",0.5,1,0,0,1,0,0,"",0,NA,1,0,NA,0.25,1,5,NA,1,1,6,"2368",0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.833333333333333,1,0,NA,NA,NA,NA,NA,NA,NA,"Subway","Red Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_51p5ht54MmQtnXn",0.75,0,0,0,0,0,0,"",1,NA,0,0,1,1,1,3,3,1,1,5,"1945",1,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,5,1,"Newburyport/Rockport Line",0,70,70,"2015-07-21 08:27:00",NA,NA,"Commuter Rail","Newburyport/Rockport Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.5,0,1,0.666666666666667,1,1,0,NA,NA,0,"CR","Newburyport/Rockport Line",0,-64.9090909090909,0,0,NA,70,"CR",4.26267987704132,NA,NA
